"";"Fechas";"DriveIDs";"idTemp$name"
"165";2006-06-01;"1Fg1vVTqkEoEBOiR8kjL0FjLENqW4pntM";"Temperaturas2006-06-01.tif"
"166";2006-05-01;"1MYkN3VFC_oVaAY9msteSOHGTN_9pAXo1";"Temperaturas2006-05-01.tif"
"167";2006-04-01;"1yUef1vb6_ePLe403eQzjTmfI1tCrKhi2";"Temperaturas2006-04-01.tif"
"168";2006-03-01;"1BcbGmQl5XqFVuYp5Q4H-7-122_m47ivX";"Temperaturas2006-03-01.tif"
"169";2006-02-01;"1TKC4H94ABvsfJnyLp_taflDsD8XQ2TZL";"Temperaturas2006-02-01.tif"
"170";2006-01-01;"13yIRuakTYozR40DYnOHP5gzgII_Sd9Q_";"Temperaturas2006-01-01.tif"
"171";2005-12-01;"1oUuNEJvrZ5nlAa9rz7NcDOld0WPOpOAP";"Temperaturas2005-12-01.tif"
"172";2005-11-01;"1GqH4oqMA87j4G7q8fIiW9SOHZwuAYaxM";"Temperaturas2005-11-01.tif"
"173";2005-10-01;"1o1X3iEsGi-6aWogP9UZDbcYjUcocYCNX";"Temperaturas2005-10-01.tif"
"174";2005-09-01;"1xZwHAi54lzBKw2r-G9g_wYD3aFiqStPX";"Temperaturas2005-09-01.tif"
"175";2005-08-01;"1pN9Irk-ehCl-3Nu6e0G92aeagDPE3JQ9";"Temperaturas2005-08-01.tif"
"176";2005-07-01;"1bvbFnQZ6MBqNzjqrEsuVVlGaQ8VibJ8d";"Temperaturas2005-07-01.tif"
"177";2005-06-01;"1TCkXa3-uJmkFPtNWnjLllsoqVk_66NWG";"Temperaturas2005-06-01.tif"
"178";2005-05-01;"1Uta5Gd_ng2ShUkMNH7ltXGkv_ycN_Ipv";"Temperaturas2005-05-01.tif"
"179";2005-04-01;"1HxBumSI6tiHpQ5damNkRaGF1esuE4p4n";"Temperaturas2005-04-01.tif"
"180";2005-03-01;"1qGGs2JTX929Ycci92m1rXaV7znXVa33E";"Temperaturas2005-03-01.tif"
"181";2005-02-01;"1tGeYeRVTNAoda53KFHL6YHmdHuPBqBtr";"Temperaturas2005-02-01.tif"
"182";2005-01-01;"1xjRh9aM4G7uZVXQR_mkicwEVGpVGRnga";"Temperaturas2005-01-01.tif"
"183";2004-12-01;"1cd6F2Qgf6graTxkQcUTZVKe0BNz6BioB";"Temperaturas2004-12-01.tif"
"184";2004-11-01;"1nqXFw3btlobfzTw-HM7c-SX1cegmQCPH";"Temperaturas2004-11-01.tif"
"185";2004-10-01;"13lkJWWFfzGc5AYp8Sr6e-dBKuktqc6bb";"Temperaturas2004-10-01.tif"
"186";2004-09-01;"1vAbNfIDkXWr1Iu3-iYOT4nKjYP7vEcPp";"Temperaturas2004-09-01.tif"
"187";2004-08-01;"1UrG9YADfcb7lXbXSPnNqU-Sibp_e2hFL";"Temperaturas2004-08-01.tif"
"188";2004-07-01;"1KpIbY5QUI0ZrdZBZlkwsxtLmCsJUKXAF";"Temperaturas2004-07-01.tif"
"189";2004-06-01;"1CX_u-zDOIzaaXgNmt3VQG4pQyhudjbQz";"Temperaturas2004-06-01.tif"
"190";2004-05-01;"19BMnwakJLqc2X0SFpvoP90tberHrSw1J";"Temperaturas2004-05-01.tif"
"191";2004-04-01;"1ZEEn4maFYUZfd2maBLPxe7D0KKWxGQYv";"Temperaturas2004-04-01.tif"
"192";2004-03-01;"1o0H8n3Aaf9npLlxTclVUPqJHG5xHabDQ";"Temperaturas2004-03-01.tif"
"193";2004-02-01;"1MwfC6Pcz4ZARWrnZTFjU4_c31H2WuQMX";"Temperaturas2004-02-01.tif"
